Date,Close
5/11/2018 16:00:00,52.85
5/14/2018 16:00:00,52.92
5/15/2018 16:00:00,53.23
5/16/2018 16:00:00,53.71
5/17/2018 16:00:00,54.79
5/18/2018 16:00:00,54.79
5/21/2018 16:00:00,55.29
5/22/2018 16:00:00,55.12
5/23/2018 16:00:00,54.14
5/24/2018 16:00:00,53.71
5/25/2018 16:00:00,53.3
5/29/2018 16:00:00,52.18
5/30/2018 16:00:00,53.07
5/31/2018 16:00:00,52.79
6/1/2018 16:00:00,53.29
6/4/2018 16:00:00,53.78
6/5/2018 16:00:00,53.84
6/6/2018 16:00:00,53.94
6/7/2018 16:00:00,53.87
6/8/2018 16:00:00,55.12
6/11/2018 16:00:00,55.13
6/12/2018 16:00:00,54.56
6/13/2018 16:00:00,54.7
6/14/2018 16:00:00,54.8
6/15/2018 16:00:00,55.21
6/18/2018 16:00:00,55.55
6/19/2018 16:00:00,55.5
6/20/2018 16:00:00,55.5
6/21/2018 16:00:00,54.25
6/22/2018 16:00:00,54.46
6/25/2018 16:00:00,54.22
6/26/2018 16:00:00,53.64
6/27/2018 16:00:00,52.88
6/28/2018 16:00:00,53.23
6/29/2018 16:00:00,53.02
7/2/2018 16:00:00,53.36
7/3/2018 13:00:00,53.67
7/5/2018 16:00:00,53.92
7/6/2018 16:00:00,54.37
7/9/2018 16:00:00,55.56
7/10/2018 16:00:00,55.46
7/11/2018 16:00:00,54.56
7/12/2018 16:00:00,54.3
7/13/2018 16:00:00,54.24
7/16/2018 16:00:00,54.77
7/17/2018 16:00:00,54.71
7/18/2018 16:00:00,55.13
7/19/2018 16:00:00,53.85
7/20/2018 16:00:00,53.32
7/23/2018 16:00:00,53.4
7/24/2018 16:00:00,53.7
7/25/2018 16:00:00,53.57
7/26/2018 16:00:00,54.25
7/27/2018 16:00:00,54.36
7/30/2018 16:00:00,54.94
7/31/2018 16:00:00,55.21
8/1/2018 16:00:00,54.99
8/2/2018 16:00:00,55.16
8/3/2018 16:00:00,53.65
8/6/2018 16:00:00,53.42
8/7/2018 16:00:00,52.99
8/8/2018 16:00:00,52.44
8/9/2018 16:00:00,52
8/10/2018 16:00:00,52.22
8/13/2018 16:00:00,52.1
8/14/2018 16:00:00,52.33
8/15/2018 16:00:00,52.1
8/16/2018 16:00:00,52.46
8/17/2018 16:00:00,52.58
8/20/2018 16:00:00,53.16
8/21/2018 16:00:00,53.8
8/22/2018 16:00:00,53.13
8/23/2018 16:00:00,52.61
8/24/2018 16:00:00,53.31
8/27/2018 16:00:00,54.22
8/28/2018 16:00:00,54.04
8/29/2018 16:00:00,53.9
8/30/2018 16:00:00,53.64
8/31/2018 16:00:00,53.17
9/4/2018 16:00:00,53.37
9/5/2018 16:00:00,53.82
9/6/2018 16:00:00,53.9
9/7/2018 16:00:00,53.67
9/10/2018 16:00:00,52.72
9/11/2018 16:00:00,52.37
9/12/2018 16:00:00,52.32
9/13/2018 16:00:00,52.67
9/14/2018 16:00:00,53.25
9/17/2018 16:00:00,53.3
9/18/2018 16:00:00,53.95
9/19/2018 16:00:00,53.89
9/20/2018 16:00:00,54.32
9/21/2018 16:00:00,54.67
9/24/2018 16:00:00,54.65
9/25/2018 16:00:00,54.41
9/26/2018 16:00:00,54.05
9/27/2018 16:00:00,53.39
9/28/2018 16:00:00,53.24
10/1/2018 16:00:00,53.08
10/2/2018 16:00:00,53.12
10/3/2018 16:00:00,53.27
