Date,Close
5/11/2018 16:00:00,130.85
5/14/2018 16:00:00,126.8
5/15/2018 16:00:00,127.22
5/16/2018 16:00:00,126.48
5/17/2018 16:00:00,129.76
5/18/2018 16:00:00,129.26
5/21/2018 16:00:00,129.27
5/22/2018 16:00:00,128.64
5/23/2018 16:00:00,128.76
5/24/2018 16:00:00,127.44
5/25/2018 16:00:00,126.97
5/29/2018 16:00:00,128.49
5/30/2018 16:00:00,129.29
5/31/2018 16:00:00,127.41
6/1/2018 16:00:00,126.66
6/4/2018 16:00:00,129.44
6/5/2018 16:00:00,128.3
6/6/2018 16:00:00,126.97
6/7/2018 16:00:00,129.41
6/8/2018 16:00:00,129.7
6/11/2018 16:00:00,130.83
6/12/2018 16:00:00,134.18
6/13/2018 16:00:00,132.28
6/14/2018 16:00:00,132.89
6/15/2018 16:00:00,134.18
6/18/2018 16:00:00,130.98
6/19/2018 16:00:00,130.93
6/20/2018 16:00:00,129.63
6/21/2018 16:00:00,131.88
6/22/2018 16:00:00,135.41
6/25/2018 16:00:00,135.98
6/26/2018 16:00:00,134.79
6/27/2018 16:00:00,129.99
6/28/2018 16:00:00,134.62
6/29/2018 16:00:00,135.13
7/2/2018 16:00:00,132.76
7/3/2018 13:00:00,133.08
7/5/2018 16:00:00,134.11
7/6/2018 16:00:00,138.03
7/9/2018 16:00:00,136.73
7/10/2018 16:00:00,137.98
7/11/2018 16:00:00,137.42
7/12/2018 16:00:00,136.61
7/13/2018 16:00:00,135.48
7/16/2018 16:00:00,134.13
7/17/2018 16:00:00,135.71
7/18/2018 16:00:00,134.37
7/19/2018 16:00:00,136.42
7/20/2018 16:00:00,138.2
7/23/2018 16:00:00,139.39
7/24/2018 16:00:00,138.55
7/25/2018 16:00:00,138.19
7/26/2018 16:00:00,138.4
7/27/2018 16:00:00,139.93
7/30/2018 16:00:00,142.9
7/31/2018 16:00:00,145.12
8/1/2018 16:00:00,148.02
8/2/2018 16:00:00,148.15
8/3/2018 16:00:00,149.48
8/6/2018 16:00:00,151.74
8/7/2018 16:00:00,152.02
8/8/2018 16:00:00,153.35
8/9/2018 16:00:00,166.37
8/10/2018 16:00:00,160.71
8/13/2018 16:00:00,166.22
8/14/2018 16:00:00,169.47
8/15/2018 16:00:00,172.46
8/16/2018 16:00:00,173.5
8/17/2018 16:00:00,174.81
8/20/2018 16:00:00,172.29
8/21/2018 16:00:00,173.02
8/22/2018 16:00:00,171.73
8/23/2018 16:00:00,169.51
8/24/2018 16:00:00,169.6
8/27/2018 16:00:00,168.03
8/28/2018 16:00:00,165.1
8/29/2018 16:00:00,165.35
8/30/2018 16:00:00,168.94
8/31/2018 16:00:00,169.56
9/4/2018 16:00:00,170.12
9/5/2018 16:00:00,174.03
9/6/2018 16:00:00,178.4
9/7/2018 16:00:00,178.86
9/10/2018 16:00:00,180.94
9/11/2018 16:00:00,181.18
9/12/2018 16:00:00,186.76
9/13/2018 16:00:00,184
9/14/2018 16:00:00,184.09
9/17/2018 16:00:00,183.87
9/18/2018 16:00:00,183.68
9/19/2018 16:00:00,182.77
9/20/2018 16:00:00,184.07
9/21/2018 16:00:00,181.22
9/24/2018 16:00:00,177.99
9/25/2018 16:00:00,176.89
9/26/2018 16:00:00,178.57
9/27/2018 16:00:00,180.06
9/28/2018 16:00:00,182.28
10/1/2018 16:00:00,175.71
10/2/2018 16:00:00,172.3
10/3/2018 16:00:00,168.77
10/4/2018 16:00:00,167.06
10/5/2018 16:00:00,164.31
10/8/2018 16:00:00,167.98
10/9/2018 16:00:00,168.46
10/10/2018 16:00:00,169.13
10/11/2018 16:00:00,163.2
10/12/2018 16:00:00,162.02
10/15/2018 16:00:00,162.27
10/16/2018 16:00:00,164.99
10/17/2018 16:00:00,163.43
10/18/2018 16:00:00,161.11
10/19/2018 16:00:00,162.78
10/22/2018 16:00:00,165.15
10/23/2018 16:00:00,165.68
10/24/2018 16:00:00,168.94
10/25/2018 16:00:00,167.17
10/26/2018 16:00:00,165.9
10/29/2018 16:00:00,168.25
10/30/2018 16:00:00,174.32
10/31/2018 16:00:00,172.63
11/1/2018 16:00:00,173.17
11/2/2018 16:00:00,174.48
11/5/2018 16:00:00,175.77
11/6/2018 16:00:00,179.83
11/7/2018 16:00:00,179.95
11/8/2018 16:00:00,182.39
11/9/2018 16:00:00,192.4
11/12/2018 16:00:00,189.67
11/13/2018 16:00:00,189.88
11/14/2018 16:00:00,189.65
11/15/2018 16:00:00,193.5
11/16/2018 16:00:00,193.97
11/19/2018 16:00:00,198.67
11/20/2018 16:00:00,195.32
11/21/2018 16:00:00,198.19
11/23/2018 13:00:00,199.78
11/26/2018 16:00:00,199.44
11/27/2018 16:00:00,205.14
11/28/2018 16:00:00,214
11/29/2018 16:00:00,208.03
11/30/2018 16:00:00,212.52
12/3/2018 16:00:00,216.91
12/4/2018 16:00:00,212.32
12/6/2018 16:00:00,215.05
12/7/2018 16:00:00,218.15
12/10/2018 16:00:00,218.95
12/11/2018 16:00:00,213.12
12/12/2018 16:00:00,216.38
12/13/2018 16:00:00,214.99
12/14/2018 16:00:00,210.15
12/17/2018 16:00:00,202.1
12/18/2018 16:00:00,199.3
12/19/2018 16:00:00,189.44
12/20/2018 16:00:00,188.81
12/21/2018 16:00:00,180.39
12/24/2018 13:00:00,172.31
12/26/2018 16:00:00,175.83
12/27/2018 16:00:00,176.59
12/28/2018 16:00:00,179.55
12/31/2018 16:00:00,177.38
1/2/2019 16:00:00,180.11
1/3/2019 16:00:00,177.89
1/4/2019 16:00:00,181.89
1/7/2019 16:00:00,185.47
1/8/2019 16:00:00,191.47
1/9/2019 16:00:00,193.32
1/10/2019 16:00:00,199.61
1/11/2019 16:00:00,208.66
1/14/2019 16:00:00,200.66
1/15/2019 16:00:00,201.34
1/16/2019 16:00:00,199.11
1/17/2019 16:00:00,205.24
1/18/2019 16:00:00,207.45
1/22/2019 16:00:00,208.11
1/23/2019 16:00:00,213.81
1/24/2019 16:00:00,213.76
1/25/2019 16:00:00,211.62
1/28/2019 16:00:00,211.36
1/29/2019 16:00:00,210.45
1/30/2019 16:00:00,211.75
1/31/2019 16:00:00,215.8
2/1/2019 16:00:00,216.99
2/4/2019 16:00:00,220
2/5/2019 16:00:00,217.13
2/6/2019 16:00:00,218
2/7/2019 16:00:00,220.5
2/8/2019 16:00:00,220.77
2/11/2019 16:00:00,224.61
2/12/2019 16:00:00,224.88
2/13/2019 16:00:00,225.93
2/14/2019 16:00:00,226.48
2/15/2019 16:00:00,225.18
2/19/2019 16:00:00,224
2/20/2019 16:00:00,225.14
2/21/2019 16:00:00,226.78
2/22/2019 16:00:00,226.84
2/25/2019 16:00:00,218.8
2/26/2019 16:00:00,211.96
2/27/2019 16:00:00,229.16
2/28/2019 16:00:00,247.86
3/1/2019 16:00:00,248.2
3/4/2019 16:00:00,244.85
3/5/2019 16:00:00,248.42
3/6/2019 16:00:00,250.51
3/7/2019 16:00:00,247.98
3/8/2019 16:00:00,248.6
3/11/2019 16:00:00,256.01
3/12/2019 16:00:00,254.91
3/13/2019 16:00:00,258.02
3/14/2019 16:00:00,256.24
3/15/2019 16:00:00,257.75
3/18/2019 16:00:00,258.54
3/19/2019 16:00:00,258.96
3/20/2019 16:00:00,258.59
3/21/2019 16:00:00,260.65
3/22/2019 16:00:00,259.25
3/25/2019 16:00:00,262.97
3/26/2019 16:00:00,281.01
3/27/2019 16:00:00,277.66
3/28/2019 16:00:00,283.97
3/29/2019 16:00:00,287.83
4/1/2019 16:00:00,280.8
4/2/2019 16:00:00,283.66
4/3/2019 16:00:00,285.79
4/4/2019 16:00:00,294.67
4/5/2019 16:00:00,296.8
4/8/2019 16:00:00,291.22
4/9/2019 16:00:00,291.62
4/10/2019 16:00:00,294.7
4/11/2019 16:00:00,293.66
4/12/2019 16:00:00,290.51
4/15/2019 16:00:00,298.15
4/16/2019 16:00:00,295.67
4/17/2019 16:00:00,294.73
4/18/2019 16:00:00,302.09
4/22/2019 16:00:00,303.98
4/23/2019 16:00:00,309.39
4/24/2019 16:00:00,320.4
4/25/2019 16:00:00,332.5
4/26/2019 16:00:00,331.57
4/29/2019 16:00:00,328
4/30/2019 16:00:00,325.03
5/1/2019 16:00:00,328.21
5/2/2019 16:00:00,328.5
5/3/2019 16:00:00,333.9
5/6/2019 16:00:00,339.29
5/7/2019 16:00:00,339.59
5/8/2019 16:00:00,358.65
